ID	orig_x	orig_y	orig_z	Annotation	label_conf	world_x	world_y	world_z
DH0711_MMIR_KAL	-25.42391674	48.75015556	-15.64418312	K130		33.65853812	2.291157016	-8.741070333
DH0712_MMIR_KAL	-30.38096304	54.0170211	-16.09344289	K131		35.38082814	4.25858214	-7.975367426
DH0713_MMIR_KAL	-31.28852408	56.88565394	-14.11137925	K132		36.34355786	4.393466583	-7.031977216
DH0714_MMIR_KAL	-29.67227845	60.21047226	-15.71969988	K133		37.70626134	4.179566119	-7.660348164
DH0715_MMIR_KAL	-33.56569794	56.26574247	-15.89054136	K134		36.0513485	5.412643267	-7.364691189
DH0716_MMIR_KAL	-34.7990752	54.29071846	-16.47197252	K135		35.2729532	5.852352738	-7.487109481
DH0717_MMIR_KAL	-36.35658651	55.15868449	-16.86569717	K136		35.52911211	6.478460162	-7.37007969
DH0724_NSEQ	-38.09978339	49.3943079	-16.43906381	K137		33.28814226	6.817497156	-7.245644671
DH0718_MMIR_KAL	-39.48191001	49.45631672	-16.93660845	K138		33.25665755	7.3690189	-7.225528843
DH0719_MMIR_KAL	-42.35274542	45.95532349	-16.162417	K139		31.79014502	8.129565074	-6.722227175
DH0720_MMIR_KAL	-34.97059356	60.58548428	-16.21539918	K140		37.59549205	6.098438122	-7.087169406
DH0722_MMIR_KAL	-36.02063435	63.94607891	-16.58619524	K141		38.80235576	6.633842428	-6.918132307
DH0729_NSEQ	-38.0784837	64.53102095	-17.27656005	K142		38.93702266	7.465307292	-6.848196655
DH0730_NSEQ	-38.94641919	60.8454907	-16.56365904	K143		37.50373085	7.534227361	-6.649809347
DH0724_MMIR_KAL	-41.47634204	60.8223423	-16.51957794	K145		37.36754227	8.403489112	-6.287927039
DH0725_MMIR_KAL	-42.34741424	58.99769451	-17.47548777	K146		36.67400021	8.776145954	-6.583201863
DH0728_MMIR_KAL	-41.61839903	56.04010711	-16.17807425	K147		35.57386205	8.23478952	-6.368214041
DH0729_MMIR_KAL	-36.08815215	53.46147974	-16.77724895	K148		34.90941064	6.312788658	-7.453751206
DH0730_MMIR_KAL	9.781513035	67.40805509	-14.58967418	K149		42.31706825	-9.391973897	-12.36115366
DH0731_MMIR_KAL	-0.713256604	74.25248617	-17.43521083	K150		44.41871249	-5.110553332	-11.59393687
DH0732_MMIR_KAL	-2.788780925	71.58972748	-15.81844639	K151		43.27879575	-4.715300721	-10.86930335
DH0733_MMIR_KAL	-6.102625224	67.38021557	-16.0945587	K152		41.55751265	-3.677432643	-10.70190092
DH0734_MMIR_KAL	-7.615091116	71.10794865	-16.43636524	K153		42.87684183	-2.972951604	-10.44250268
