targetid,ordernumber,organism,species,sample_id,sample_id_old,site,annotation,orig_x,orig_y,orig_z,world_x,world_y,world_z,agisoft_x,agisoft_y,agisoft_z,clone_lineage,clade,shape_id,lat,lon
2795452,DMadr22-6918,Madracis,-,DH0358_MMIR_SNA,mmir_sna_411,Snake Bay,SB190,-4.91264,13.2716,-15.7531,-34.86594163,14.05273009,-12.42506558,-68.96054379,-211.668264,30.64163421,92,Major,56_sna,12.138986,-68.997639
2795453,DMadr22-6918,Madracis,-,DH0359_MMIR_SNA,mmir_sna_413,Snake Bay,SB191,-7.99617,19.4523,-17.4864,-36.50743442,13.10505747,-12.12607779,-71.62795021,-213.1883963,31.52588184,90,Major,56_sna,12.138986,-68.997639
2795454,DMadr22-6918,Madracis,-,DH0360_MMIR_SNA,mmir_sna_415,Snake Bay,SB192,-13.1045,17.2857,-18.1728,-35.84772677,11.85428247,-11.60650622,-70.44977371,-215.2378001,32.36493245,90,Major,89_sna,12.138986,-68.997639
2795542,DMadr22-6918,Madracis,-,DH0361_MMIR_SNA,mmir_sna_417,Snake Bay,SB193,-13.1273,9.88755,-16.1462,-33.80952449,12.14714409,-11.42771528,-67.04158572,-214.7745407,32.25019705,92,Major,54_sna,12.138986,-68.997639
2795543,DMadr22-6918,Madracis,-,DH0362_MMIR_SNA,mmir_sna_419,Snake Bay,SB194,-16.576,10.2411,-14.6766,-33.78833966,11.59115341,-10.57929612,-66.85070222,-215.629353,33.69473684,92,Major,54_sna,12.138986,-68.997639
2795544,DMadr22-6918,Madracis,-,DH0363_MMIR_SNA,mmir_sna_421,Snake Bay,SB195,-17.5152,13.9198,-15.9706,-34.79162195,11.18939292,-10.59178495,-68.51642116,-216.2795066,33.89769047,92,Major,54_sna,12.138986,-68.997639
2795545,DMadr22-6918,Madracis,-,DH0364_MMIR_SNA,mmir_sna_423,Snake Bay,SB196,-16.6878,17.455,-17.183,-35.78967553,11.1965876,-10.85184806,-70.21665684,-216.2701814,33.65616769,90,Major,55_sna,12.138986,-68.997639
2795546,DMadr22-6918,Madracis,-,DH0365_MMIR_SNA,mmir_sna_425,Snake Bay,SB197,-16.6474,20.2643,-18.084,-36.56839623,11.07295683,-10.95366009,-71.52526703,-216.469466,33.64564272,90,Major,55_sna,12.138986,-68.997639
2795547,DMadr22-6918,Madracis,-,DH0366_MMIR_SNA,mmir_sna_427,Snake Bay,SB198,-20.9018,19.8207,-17.7409,-36.35349296,10.16799581,-10.26677464,-71.04787114,-217.9215873,34.81608668,90,Major,55_sna,12.138986,-68.997639
2795548,DMadr22-6918,Madracis,-,DH0367_MMIR_SNA,mmir_sna_429,Snake Bay,SB199,-20.1022,17.0724,-17.0586,-35.61483347,10.44783463,-10.33515623,-69.83637205,-217.4758594,34.53984275,90,Major,55_sna,12.138986,-68.997639
2795549,DMadr22-6918,Madracis,-,DH0368_MMIR_SNA,mmir_sna_431,Snake Bay,SB200,-19.2372,13.52,-16.1839,-34.65688408,10.77060779,-10.40031012,-68.26111824,-216.9626137,34.22384379,0,Major,54_sna,12.138986,-68.997639
2795637,DMadr22-6918,Madracis,-,DH0369_MMIR_SNA,mmir_sna_433,Snake Bay,SB201,-19.4325,11.067,-14.9191,-33.95873746,10.91372846,-10.18146784,-67.06339348,-216.7197231,34.44131107,92,Major,54_sna,12.138986,-68.997639
2796115,DMadr22-6918,Madracis,-,DH0369_MMIR_SNA,mmir_sna_433,Snake Bay,,,,,,,,,,,92,Major,54_sna,12.138986,-68.997639
2795638,DMadr22-6918,Madracis,-,DH0370_MMIR_SNA,mmir_sna_435,Snake Bay,SB202,-23.6269,18.0336,-17.9379,-35.8277966,9.525622242,-9.975470912,-70.1290047,-218.9756302,35.25207977,90,Major,55_sna,12.138986,-68.997639
2796116,DMadr22-6918,Madracis,-,DH0370_MMIR_SNA,mmir_sna_435,Snake Bay,,,,,,,,,,,90,Major,55_sna,12.138986,-68.997639
2795639,DMadr22-6918,Madracis,-,DH0371_MMIR_SNA,mmir_sna_437,Snake Bay,SB203,-38.4735,7.00189,-22.8498,-32.73819755,5.454242029,-9.290624229,-64.92643424,-225.7476124,36.14238939,90,Major,50_sna,12.138986,-68.997639
2796117,DMadr22-6918,Madracis,-,DH0371_MMIR_SNA,mmir_sna_437,Snake Bay,,,,,,,,,,,90,Major,50_sna,12.138986,-68.997639
2795640,DMadr22-6918,Madracis,-,DH0372_MMIR_SNA,mmir_sna_441,Snake Bay,SB204,-44.2627,6.81355,-24.1395,-32.61157363,3.961689783,-8.731263853,-64.62477313,-228.1857004,37.16836182,89,Major,45_sna,12.138986,-68.997639
2796118,DMadr22-6918,Madracis,-,DH0372_MMIR_SNA,mmir_sna_441,Snake Bay,,,,,,,,,,,89,Major,45_sna,12.138986,-68.997639
2796119,DMadr22-6918,Madracis,-,DH0373_MMIR_SNA,mmir_sna_443,Snake Bay,SB205,-52.3111,4.86236,-25.84,-31.98181078,1.899638351,-7.995931512,-63.46276899,-231.5657575,38.43790974,9,Major,38_sna,12.138986,-68.997639
2796120,DMadr22-6918,Madracis,-,DH0374_MMIR_SNA,mmir_sna_445,Snake Bay,SB206,-63.2601,21.2251,-32.4864,-36.33572245,-1.541165552,-7.251570642,-70.55574299,-237.1435964,40.78101732,9,Major,28_sna,12.138986,-68.997639
2795733,DMadr22-6918,Madracis,-,DH0378_MMIR_SNA,mmir_sna_452,Snake Bay,SB211,28.295,22.1876,-22.3588,-38.12164635,20.53467228,-18.4572881,-75.43034093,-201.3267028,20.74508482,190,Minor,84_sna,12.138986,-68.997639
2795734,DMadr22-6918,Madracis,-,DH0379_MMIR_SNA,mmir_sna_453,Snake Bay,SB212,28.5966,26.6173,-23.5645,-39.34759952,20.42516132,-18.60505982,-77.48733613,-201.4978563,20.74201365,0,Minor,84_sna,12.138986,-68.997639
2795735,DMadr22-6918,Madracis,-,DH0380_MMIR_SNA,mmir_sna_454,Snake Bay,SB213,12.5477,20.3442,-19.3951,-37.21942601,17.4369114,-15.54553383,-73.41422074,-206.2542572,25.64610186,90,Major,56_sna,12.138986,-68.997639
2795736,DMadr22-6918,Madracis,-,DH0381_MMIR_SNA,mmir_sna_455,Snake Bay,SB214,10.0025,21.0912,-18.0101,-37.32410492,17.07150159,-14.83445787,-73.45582194,-206.8011315,26.87147446,90,Major,56_sna,12.138986,-68.997639
2795737,DMadr22-6918,Madracis,-,DH0382_MMIR_SNA,mmir_sna_456,Snake Bay,SB215,10.0671,24.1454,-18.2975,-38.14946351,17.04470613,-14.79421233,-74.8137071,-206.8267665,27.09630385,90,Major,56_sna,12.138986,-68.997639
2795739,DMadr22-6918,Madracis,-,DH0384_MMIR_SNA,mmir_sna_458,Snake Bay,SB217,6.38413,34.592,-22.7185,-41.00141491,15.56454701,-14.84598628,-79.5549687,-209.2384821,27.67483405,94,Major,56_sna,12.138986,-68.997639
2795558,DMadr22-6918,Madracis,-,DH0385_MMIR_SNA,mmir_sna_466,Snake Bay,SB225,5.66753,30.4482,-22.0947,-39.86160403,15.49439293,-14.75585732,-77.65308985,-209.3692271,27.61410438,90,Major,56_sna,12.138986,-68.997639
2796066,DMadr22-6918,Madracis,-,DH0385_MMIR_SNA,mmir_sna_466,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2795360,DMadr22-6918,Madracis,-,DH0386_MMIR_SNA,mmir_sna_467,Snake Bay,SB226,4.35224,33.2914,-22.003,-40.59096516,15.21388883,-14.43574215,-78.80143074,-209.7954278,28.30453956,94,Major,56_sna,12.138986,-68.997639
2795361,DMadr22-6918,Madracis,-,DH0387_MMIR_SNA,mmir_sna_468,Snake Bay,SB227,1.86415,35.0461,-19.9742,-40.94556527,14.95756193,-13.55234248,-79.22270997,-210.141943,29.85267976,94,Major,56_sna,12.138986,-68.997639
2795362,DMadr22-6918,Madracis,-,DH0388_MMIR_SNA,mmir_sna_469,Snake Bay,SB228,-0.977165,33.4658,-19.2028,-40.4424029,14.43324205,-13.02077126,-78.29440624,-210.9793898,30.67993513,94,Major,56_sna,12.138986,-68.997639
2795363,DMadr22-6918,Madracis,-,DH0389_MMIR_SNA,mmir_sna_470,Snake Bay,SB229,-5.75606,30.4112,-17.6248,-39.48148645,13.59292191,-12.07905633,-76.53401037,-212.3170525,32.12486367,90,Major,56_sna,12.138986,-68.997639
2795364,DMadr22-6918,Madracis,-,DH0390_MMIR_SNA,mmir_sna_471,Snake Bay,SB230,-1.42246,28.715,-20.4276,-39.20393547,14.14874376,-13.40448552,-76.32128408,-211.5075971,29.8357684,90,Major,56_sna,12.138986,-68.997639
2795365,DMadr22-6918,Madracis,-,DH0391_MMIR_SNA,mmir_sna_472,Snake Bay,SB231,-2.40059,26.3755,-19.2854,-38.52413095,14.09780916,-13.09330839,-75.13818978,-211.5794177,30.22560684,95,Major,56_sna,12.138986,-68.997639
2795366,DMadr22-6918,Madracis,-,DH0392_MMIR_SNA,mmir_sna_473,Snake Bay,SB232,-0.127022,22.4547,-18.2514,-37.49128372,14.76055467,-13.34435191,-73.47114583,-210.5176206,29.5596806,96,Major,56_sna,12.138986,-68.997639
2795367,DMadr22-6918,Madracis,-,DH0393_MMIR_SNA,mmir_sna_474,Snake Bay,SB233,-4.705106998,22.29710162,-17.37276253,-37.32941574,13.86267968,-12.47996923,-73.04772027,-211.942284,31.03280305,95,Major,56_sna,12.138986,-68.997639
2794484,DMadr22-6918,Madracis,-,DH0394_MMIR_SNA,mmir_sna_475,Snake Bay,SB234,-5.71701,30.6424,-17.7033,-39.54643015,13.59012629,-12.09366853,-76.64423733,-212.321682,32.11323947,90,Major,56_sna,12.138986,-68.997639
2794485,DMadr22-6918,Madracis,-,DH0395_MMIR_SNA,mmir_sna_476,Snake Bay,SB235,-4.03484,35.0881,-19.5029,-40.82307886,13.70242954,-12.57645614,-78.84660657,-212.1507208,31.54757547,90,Major,56_sna,12.138986,-68.997639
2794486,DMadr22-6918,Madracis,-,DH0396_MMIR_SNA,mmir_sna_477,Snake Bay,SB236,-2.72701,37.1721,-19.679,-41.41110858,13.97103582,-12.73081341,-79.84608611,-211.7057094,31.38112189,94,Major,56_sna,12.138986,-68.997639
2794487,DMadr22-6918,Madracis,-,DH0397_MMIR_SNA,mmir_sna_478,Snake Bay,SB237,-5.86768,37.7648,-19.7946,-41.50957163,13.24853721,-12.27155078,-79.92854651,-212.8673125,32.21938829,0,Major,56_sna,12.138986,-68.997639
2794488,DMadr22-6918,Madracis,-,DH0398_MMIR_SNA,mmir_sna_479,Snake Bay,SB238,-7.01459,34.7068,-18.5625,-40.63180726,13.17271822,-11.94224563,-78.41478723,-212.9827549,32.60383803,90,Major,56_sna,12.138986,-68.997639
2794489,DMadr22-6918,Madracis,-,DH0399_MMIR_SNA,mmir_sna_480,Snake Bay,SB239,-8.11221,31.1032,-17.8402,-39.62539147,13.03187358,-11.75393245,-76.71558959,-213.220413,32.73650377,90,Major,56_sna,12.138986,-68.997639
2794490,DMadr22-6918,Madracis,-,DH0400_MMIR_SNA,mmir_sna_481,Snake Bay,SB240,-8.44511,27.4695,-17.1547,-38.62751415,13.05734191,-11.68764153,-75.05212109,-213.1914381,32.65517262,90,Major,56_sna,12.138986,-68.997639
2794491,DMadr22-6918,Madracis,-,DH0401_MMIR_SNA,mmir_sna_482,Snake Bay,SB241,-8.562042404,23.02279329,-17.89381794,-37.46161796,12.91901027,-12.0003839,-73.18420331,-213.4693499,31.92966494,96,Major,56_sna,12.138986,-68.997639
