shape_id	n_points	z_min	z_max	z_range	area_2d	perimeter	Environment	Site
63_kal	54	-14.743865905755086	-14.64075755742672	0.1031083483283659	0.0033483922040399277	0.2502603772393374	Slope	Playa Kalki
64_kal	2725	-14.540141669646511	-13.235467309444129	1.304674360202382	0.20789504980547538	2.0552053090806743	Slope	Playa Kalki
65_kal	6097	-11.6893272072188	-10.080422954858282	1.608904252360519	0.5455142464161706	3.6528081313604233	Crest	Playa Kalki
66_kal	45	-10.19475274418519	-9.244641762221214	0.9501109819639755	0.0020167145568610505	0.18255348036686775	Crest	Playa Kalki
67_kal	618	-11.243076446251415	-10.624322326444378	0.6187541198070363	0.01900308485798252	0.6336421821342949	Crest	Playa Kalki
68_kal	1188	-10.925376892019662	-10.599577752056875	0.3257991399627862	0.1258837842351935	1.5242298482567906	Crest	Playa Kalki
69_kal	196	-10.793709729541744	-10.13490502085002	0.6588047086917239	0.014912868981189474	0.5138564026056214	Crest	Playa Kalki
7_kal	10197	-5.8065445613618	-5.1290271584936455	0.6775174028681548	0.900369085695005	6.250072765419256	Terrace	Playa Kalki
70_kal	94	-9.71182096047008	-9.615184956698776	0.09663600377130344	0.006848213042988776	0.3222652230024793	Crest	Playa Kalki
71_kal	21226	-10.18544579826203	-7.758752250397978	2.426693547864052	1.1101575270693531	9.902544431775144	Crest	Playa Kalki
72_kal	856	-8.650726092061587	-8.2579897289747	0.39273636308688786	0.06575764415215674	0.991049480710739	Crest	Playa Kalki
73_kal	1198	-11.032993446511945	-7.5941757494841555	3.4388176970277895	0.10610576007024641	1.571730581023713	Crest	Playa Kalki
74_kal	1349	-10.227969959700637	-6.904366708611596	3.3236032510890414	0.04506757011060533	1.7433541984872776	Crest	Playa Kalki
75_kal	3209	-9.422350392810653	-8.16998744805382	1.2523629447568325	0.23027498613976763	2.6526389808846607	Crest	Playa Kalki
76_kal	15	-9.57783416286281	-8.658899114322216	0.9189350485405949	0.0014338478699992517	0.16038358336923692	Crest	Playa Kalki
77_kal	10840	-8.708673777483556	-7.60251274147336	1.1061610360101959	1.0254030406105035	7.25426526756667	Crest	Playa Kalki
78_kal	20494	-10.833292946709962	-7.846630006426509	2.986662940283453	2.1910821098650493	9.370287154503	Crest	Playa Kalki
79_kal	5798	-7.029725296968829	-5.96612246836424	1.0636028286045889	0.6090444731990801	4.082890392483763	Crest	Playa Kalki
79_kal	5798	-7.029725296968829	-5.96612246836424	1.0636028286045889	0.6090444731990801	4.082890392483763	Terrace	Playa Kalki
8_kal	22831	-8.227223741265636	-5.599449171117435	2.627774570148201	1.9782797722367802	12.509522365374366	Crest	Playa Kalki
8_kal	22831	-8.227223741265636	-5.599449171117435	2.627774570148201	1.9782797722367802	12.509522365374366	Terrace	Playa Kalki
80_kal	319	-6.531142256160498	-6.3125504531082495	0.21859180305224868	0.024098946800314054	0.6107851134740571	Crest	Playa Kalki
81_kal	3609	-6.443951529614088	-5.842323528294529	0.6016280013195585	0.3808443609352241	5.069389320558543	Crest	Playa Kalki
81_kal	3609	-6.443951529614088	-5.842323528294529	0.6016280013195585	0.3808443609352241	5.069389320558543	Terrace	Playa Kalki
