NR INDV clone_lineage LOC Depth CLADE
276 DH0290_MMIR_SNA 80 SNA reef_slope Major
277 DH0291_MMIR_SNA 79 SNA reef_slope Major
278 DH0292_MMIR_SNA 79 SNA reef_slope Major
279 DH0293_MMIR_SNA 79 SNA reef_slope Hybrid
280 DH0294_MMIR_SNA 75 SNA reef_slope Major
281 DH0295_MMIR_SNA 0 SNA reef_slope Minor
282 DH0296_MMIR_SNA 81 SNA reef_slope Major
283 DH0297_MMIR_SNA 81 SNA reef_slope Major
284 DH0298_MMIR_SNA 81 SNA reef_slope Major
285 DH0299_MMIR_SNA 82 SNA reef_slope Major
286 DH0300_MMIR_SNA 75 SNA reef_slope Major
287 DH0301_MMIR_SNA 82 SNA reef_slope Major
288 DH0302_MMIR_SNA 188 SNA reef_slope Minor
289 DH0303_MMIR_SNA 82 SNA reef_slope Major
290 DH0304_MMIR_SNA 82 SNA reef_slope Major
291 DH0305_MMIR_SNA 82 SNA reef_slope Major
292 DH0306_MMIR_SNA 77 SNA reef_slope Major
293 DH0307_MMIR_SNA 82 SNA reef_slope Major
294 DH0308_MMIR_SNA 189 SNA reef_slope Minor
295 DH0309_MMIR_SNA 189 SNA reef_slope Minor
296 DH0310_MMIR_SNA 0 SNA reef_slope Major
297 DH0311_MMIR_SNA 0 SNA reef_slope Major
298 DH0313_MMIR_SNA 80 SNA reef_slope Major
299 DH0314_MMIR_SNA 80 SNA reef_slope Major
300 DH0315_MMIR_SNA 80 SNA reef_slope Major
301 DH0316_MMIR_SNA 80 SNA reef_slope Major
302 DH0317_MMIR_SNA 80 SNA reef_slope Major
303 DH0318_MMIR_SNA 80 SNA reef_slope Major
304 DH0319_MMIR_SNA 80 SNA reef_slope Major
305 DH0320_MMIR_SNA 80 SNA reef_slope Major
306 DH0325_MMIR_SNA 85 SNA reef_slope Major
307 DH0326_MMIR_SNA 85 SNA reef_slope Major
308 DH0327_MMIR_SNA 86 SNA reef_slope Major
309 DH0329_MMIR_SNA 80 SNA reef_slope Major
310 DH0330_MMIR_SNA 87 SNA reef_slope Major
311 DH0331_MMIR_SNA 87 SNA reef_slope Major
312 DH0333_MMIR_SNA 87 SNA reef_slope Major
313 DH0334_MMIR_SNA 0 SNA reef_slope Major
314 DH0335_MMIR_SNA 89 SNA reef_slope Major
315 DH0336_MMIR_SNA 89 SNA reef_slope Major
316 DH0337_MMIR_SNA 190 SNA reef_slope Minor
317 DH0338_MMIR_SNA 67 SNA reef_slope Major
318 DH0339_MMIR_SNA 67 SNA reef_slope Major
319 DH0340_MMIR_SNA 0 SNA reef_slope Minor
320 DH0341_MMIR_SNA 188 SNA reef_slope Minor
321 DH0342_MMIR_SNA 188 SNA reef_slope Minor
322 DH0343_MMIR_SNA 90 SNA reef_slope Major
323 DH0344_MMIR_SNA 0 SNA reef_slope Minor
324 DH0345_MMIR_SNA 91 SNA reef_slope Major
325 DH0346_MMIR_SNA 90 SNA reef_slope Major
326 DH0347_MMIR_SNA 92 SNA reef_slope Major
327 DH0348_MMIR_SNA 90 SNA reef_slope Major
328 DH0349_MMIR_SNA 90 SNA reef_slope Major
329 DH0350_MMIR_SNA 90 SNA reef_slope Major
330 DH0351_MMIR_SNA 90 SNA reef_slope Major
331 DH0352_MMIR_SNA 91 SNA reef_slope Major
332 DH0354_MMIR_SNA 90 SNA reef_slope Major
333 DH0357_MMIR_SNA 92 SNA reef_slope Major
334 DH0358_MMIR_SNA 92 SNA reef_slope Major
335 DH0359_MMIR_SNA 90 SNA reef_slope Major
336 DH0360_MMIR_SNA 90 SNA reef_slope Hybrid
337 DH0361_MMIR_SNA 92 SNA reef_slope Major
338 DH0362_MMIR_SNA 92 SNA reef_slope Major
339 DH0363_MMIR_SNA 92 SNA reef_slope Major
340 DH0364_MMIR_SNA 90 SNA reef_slope Major
341 DH0365_MMIR_SNA 90 SNA reef_slope Major
342 DH0366_MMIR_SNA 90 SNA reef_slope Major
343 DH0367_MMIR_SNA 90 SNA reef_slope Major
344 DH0368_MMIR_SNA 0 SNA reef_slope Major
345 DH0369_MMIR_SNA 92 SNA reef_slope Major
346 DH0370_MMIR_SNA 90 SNA reef_slope Major
347 DH0371_MMIR_SNA 90 SNA reef_slope Hybrid
348 DH0372_MMIR_SNA 89 SNA reef_slope Major
349 DH0373_MMIR_SNA 9 SNA reef_slope Major
350 DH0374_MMIR_SNA 9 SNA reef_slope Major
351 DH0378_MMIR_SNA 190 SNA reef_slope Minor
352 DH0379_MMIR_SNA 0 SNA reef_slope Minor
353 DH0380_MMIR_SNA 90 SNA reef_slope Major
354 DH0381_MMIR_SNA 90 SNA reef_slope Major
355 DH0382_MMIR_SNA 90 SNA reef_slope Major
356 DH0384_MMIR_SNA 94 SNA reef_slope Major
357 DH0385_MMIR_SNA 90 SNA reef_slope Major
358 DH0386_MMIR_SNA 94 SNA reef_slope Major
359 DH0387_MMIR_SNA 94 SNA reef_slope Major
360 DH0388_MMIR_SNA 94 SNA reef_slope Major
